region,lat,lon,soil_attribute,unit,upper_depth_cm,lower_depth_cm,value,lower_uncertainty,upper_uncertainty
South Australia,-34.5,138.5,CLAY,%,60.0,100.0,38.568912506103516,17.908464431762695,55.821739196777344
South Australia,-34.5,138.5,CLAY,%,100.0,200.0,40.05752944946289,13.851980209350586,55.091670989990234
South Australia,-34.5,138.5,SAND,%,0.0,5.0,65.38762664794922,38.93832778930664,85.50150299072266
South Australia,-34.5,138.5,SAND,%,5.0,15.0,62.67543029785156,36.336517333984375,84.82331848144531
South Australia,-34.5,138.5,SAND,%,15.0,30.0,58.9107551574707,30.300846099853516,77.30111694335938
South Australia,-34.5,138.5,SAND,%,30.0,60.0,53.00474166870117,21.641124725341797,75.12272644042969
South Australia,-34.5,138.5,SAND,%,60.0,100.0,47.2130126953125,18.565826416015625,80.5382308959961
South Australia,-34.5,138.5,SAND,%,100.0,200.0,43.74819564819336,18.526874542236328,85.23036193847656
South Australia,-34.5,138.5,SILT,%,0.0,5.0,7.63883113861084,3.181936264038086,17.884183883666992
South Australia,-34.5,138.5,SILT,%,5.0,15.0,7.202541828155518,2.8676419258117676,17.56964111328125
South Australia,-34.5,138.5,SILT,%,15.0,30.0,7.417192459106445,3.478914976119995,16.198745727539062
South Australia,-34.5,138.5,SILT,%,30.0,60.0,7.448831081390381,3.4957568645477295,15.994965553283691
South Australia,-34.5,138.5,SILT,%,60.0,100.0,7.248515605926514,3.247293472290039,15.968916893005371
South Australia,-34.5,138.5,SILT,%,100.0,200.0,6.68142557144165,3.5060935020446777,13.6829833984375
South Australia,-34.5,138.5,TOTAL_N,%,0.0,5.0,0.10334649682044983,0.02573409304022789,0.3777834475040436
South Australia,-34.5,138.5,TOTAL_N,%,5.0,15.0,0.08867846429347992,0.020100586116313934,0.35699784755706787
South Australia,-34.5,138.5,TOTAL_N,%,15.0,30.0,0.060832805931568146,0.014632558450102806,0.2357182800769806
South Australia,-34.5,138.5,TOTAL_N,%,30.0,60.0,0.04439462721347809,0.011120198294520378,0.1712944060564041
South Australia,-34.5,138.5,TOTAL_N,%,60.0,100.0,0.03228147327899933,0.008549300022423267,0.12031709402799606
South Australia,-34.5,138.5,TOTAL_N,%,100.0,200.0,0.02601940743625164,0.006948549300432205,0.09950315207242966
South Australia,-34.5,138.5,TOTAL_P,%,0.0,5.0,0.033689823001623154,0.015139822848141193,0.06608982384204865
South Australia,-34.5,138.5,TOTAL_P,%,5.0,15.0,0.03261091560125351,0.0076013351790606976,0.13451872766017914
South Australia,-34.5,138.5,TOTAL_P,%,15.0,30.0,0.030339935794472694,0.007227602414786816,0.12509343028068542
South Australia,-34.5,138.5,TOTAL_P,%,30.0,60.0,0.025816936045885086,0.006188772618770599,0.1076745092868805
South Australia,-34.5,138.5,TOTAL_P,%,60.0,100.0,0.02490362897515297,0.005937875714153051,0.10409341752529144
South Australia,-34.5,138.5,TOTAL_P,%,100.0,200.0,0.021478258073329926,0.0050557926297187805,0.08978807926177979
South Australia,-34.5,138.5,ECEC,meq/100g,0.0,5.0,16.159517288208008,2.8663625717163086,86.66234588623047
South Australia,-34.5,138.5,ECEC,meq/100g,5.0,15.0,15.908222198486328,2.861346483230591,84.0147933959961
South Australia,-34.5,138.5,ECEC,meq/100g,15.0,30.0,15.631484985351562,2.637261152267456,87.74281311035156
South Australia,-34.5,138.5,ECEC,meq/100g,30.0,60.0,16.63016128540039,2.7249057292938232,95.8798828125
South Australia,-34.5,138.5,ECEC,meq/100g,60.0,100.0,17.699016571044922,2.8502352237701416,103.54390716552734
South Australia,-34.5,138.5,ECEC,meq/100g,100.0,200.0,19.30121612548828,2.8119356632232666,125.42583465576172
South Australia,-34.5,138.5,AWC,%,0.0,5.0,13.467309951782227,5.874740123748779,21.059879302978516
South Australia,-34.5,138.5,AWC,%,5.0,15.0,13.593188285827637,6.493937015533447,20.69243812561035
South Australia,-34.5,138.5,AWC,%,15.0,30.0,13.711084365844727,7.083536624908447,20.338632583618164
South Australia,-34.5,138.5,AWC,%,30.0,60.0,13.458113670349121,6.654796123504639,20.261430740356445
South Australia,-34.5,138.5,AWC,%,60.0,100.0,12.984111785888672,5.826971054077148,20.141252517700195
South Australia,-34.5,138.5,AWC,%,100.0,200.0,12.075788497924805,3.107093334197998,21.044483184814453
South Australia,-34.5,138.5,PHC,None,0.0,5.0,7.292858600616455,6.328334808349609,7.996609687805176
South Australia,-34.5,138.5,PHC,None,5.0,15.0,7.526516437530518,6.389779090881348,8.171293258666992
South Australia,-34.5,138.5,PHC,None,15.0,30.0,7.812479496002197,6.584539890289307,8.520480155944824
